,Family,rs10751768,rs11587434,rs2311859,rs3813795,rs6674129,rs6684903,rs7530353,rs10495786,rs116947984,rs3927971,rs6546191,rs72819762,rs73974034,rs10049135,rs1143671,rs1447826,rs17051772,rs17849995,rs55639070,rs62264176
0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae],0.0197,-0.08346,0.02453,-0.02513,-0.02026,-0.04309,-0.2604,0.08076,-0.01602,0.1241,0.1286,-0.2009,-0.2066,-0.07365,-0.1505,0.06055,-0.1953,-0.1475,-0.1458,-0.173
1,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7,-0.03674,-0.1387,0.1,-0.0847,-0.1054,-0.1409,-0.1171,0.05456,-0.1475,0.0887,0.09252,-0.1229,-0.1405,-0.05235,-0.1016,0.09676,-0.0936,-0.09986,-0.1209,-0.1211
2,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae,-0.05155,-0.08439,0.04563,-0.07917,-0.0716,-0.02529,-0.0905,0.08372,0.003184,0.01903,0.1054,-0.1394,-0.1604,-0.07365,-0.1249,0.0257,-0.1131,-0.1184,-0.1032,-0.05667
3,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae,-0.06896,-0.07005,0.05393,-0.08712,-0.03865,-0.1956,-0.1613,0.08461,-0.02595,0.1266,0.06327,-0.1716,-0.1958,-0.08178,-0.07198,0.1327,-0.1285,-0.07999,-0.08714,-0.1682
4,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae,0.06974,0.1601,-0.06603,-0.0116,-0.004224,0.1298,0.02463,-0.004877,0.2611,-0.06589,0.03396,0.04314,-0.02461,0.00824,0.08523,0.03936,-0.1099,0.182,0.1917,0.1485
5,k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae,-0.07694,-0.1759,0.1178,-0.1038,-0.1263,-0.1786,-0.1463,0.08418,-0.1893,0.1183,0.1183,-0.1575,-0.1795,-0.08178,-0.125,0.12,-0.1162,-0.1252,-0.1474,-0.1537
6,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,-0.09671,-0.2432,0.341,-0.149,-0.4839,-0.3775,-0.07961,0.1736,-0.2464,0.2079,0.5623,-0.2318,-0.5299,-0.4732,-0.2339,0.1842,-0.4031,0.01685,0.225,0.1424
7,k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae,-0.1286,-0.1423,0.0998,-0.08577,-0.1059,-0.1445,-0.1195,0.1004,-0.152,0.08926,0.04399,-0.1266,-0.1445,-0.1104,-0.05101,0.09844,-0.09526,-0.05698,-0.06207,-0.1243
8,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,-0.1516,-0.1702,0.08534,-0.09919,-0.1198,-0.1727,-0.1408,0.1192,-0.1837,0.1163,0.1147,-0.1529,-0.174,-0.127,-0.1197,0.1152,-0.1116,-0.1206,-0.1406,-0.1487
9,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae,-0.1603,-0.18,0.1171,-0.1048,-0.1265,-0.1826,-0.1489,0.126,-0.1944,0.1201,0.07718,-0.1618,-0.1841,-0.1342,-0.08158,0.1218,-0.1179,-0.08868,-0.09664,-0.1573
10,k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__Xenococcaceae,-0.1613,-0.07081,0.08771,-0.0703,-0.08536,-0.182,-0.07973,0.08095,-0.1921,0.1187,0.1202,-0.16,-0.04164,-0.07837,-0.1287,0.07152,-0.06831,-0.128,-0.1521,-0.1566
